issue_number,issue_title,url,priority,classification,artifact_required,current_evidence,missing_work,action_taken,files_changed,validation_command,closure_decision,close_now,fixes_in_pr,stay_open_reason
28,P2: Build WAIKE evaluation dashboard,https://github.com/gunnchOS3k/waike-research-ops/issues/28,p2,DONE_ON_BRANCH_NEEDS_PR_MERGE,evaluation/README.md,evaluation/README.md; results/evaluation/evaluation_dashboard.md,,implement_issue_completion.py,evaluation/README.md; results/evaluation/evaluation_dashboard.md,make validate-issue-completion,fixes_in_pr,False,True,
27,P2: Build multilingual localization plan,https://github.com/gunnchOS3k/waike-research-ops/issues/27,p2,DONE_ON_BRANCH_NEEDS_PR_MERGE,localization/README.md,localization/README.md; results/localization/localization_plan.md,,implement_issue_completion.py,localization/README.md; results/localization/localization_plan.md,make validate-issue-completion,fixes_in_pr,False,True,
26,P1: Build student portfolio requirements,https://github.com/gunnchOS3k/waike-research-ops/issues/26,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,portfolio/README.md,portfolio/README.md; results/portfolio/portfolio_requirements_index.md,,implement_issue_completion.py,portfolio/README.md; results/portfolio/portfolio_requirements_index.md,make validate-issue-completion,fixes_in_pr,False,True,
25,P1: Build instructor training model,https://github.com/gunnchOS3k/waike-research-ops/issues/25,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,instructor_training/README.md,instructor_training/README.md; results/instructor_training/instructor_training_packet.md,,implement_issue_completion.py,instructor_training/README.md; results/instructor_training/instructor_training_packet.md,make validate-issue-completion,fixes_in_pr,False,True,
24,P1: Build WAIKE capstone library,https://github.com/gunnchOS3k/waike-research-ops/issues/24,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,capstones/README.md,capstones/README.md; results/capstones/capstone_library_index.md,,implement_issue_completion.py,capstones/README.md; results/capstones/capstone_library_index.md,make validate-issue-completion,fixes_in_pr,False,True,
23,P1: Map cyber track to ISC2 CC/Security+,https://github.com/gunnchOS3k/waike-research-ops/issues/23,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/ISC2_CC_SECURITY_PLUS_mapping.md,standards_alignment/ISC2_CC_SECURITY_PLUS_mapping.md,,implement_issue_completion.py,standards_alignment/ISC2_CC_SECURITY_PLUS_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
22,P1: Map networking track to CCNA,https://github.com/gunnchOS3k/waike-research-ops/issues/22,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/Cisco_CCNA_mapping.md,standards_alignment/Cisco_CCNA_mapping.md,,implement_issue_completion.py,standards_alignment/Cisco_CCNA_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
21,P1: Map IT track to CompTIA A+,https://github.com/gunnchOS3k/waike-research-ops/issues/21,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/CompTIA_A_PLUS_mapping.md,standards_alignment/CompTIA_A_PLUS_mapping.md,,implement_issue_completion.py,standards_alignment/CompTIA_A_PLUS_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
20,P1: Map AI track to NIST AI RMF,https://github.com/gunnchOS3k/waike-research-ops/issues/20,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/NIST_AI_RMF_mapping.md,standards_alignment/NIST_AI_RMF_mapping.md,,implement_issue_completion.py,standards_alignment/NIST_AI_RMF_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
19,P1: Map software engineering to SWEBOK,https://github.com/gunnchOS3k/waike-research-ops/issues/19,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/SWEBOK_mapping.md,standards_alignment/SWEBOK_mapping.md,,implement_issue_completion.py,standards_alignment/SWEBOK_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
18,P1: Map digital skills to SFIA 9,https://github.com/gunnchOS3k/waike-research-ops/issues/18,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/SFIA_9_mapping.md,standards_alignment/SFIA_9_mapping.md,,implement_issue_completion.py,standards_alignment/SFIA_9_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
17,P1: Map cybersecurity to NIST NICE,https://github.com/gunnchOS3k/waike-research-ops/issues/17,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/NIST_NICE_mapping.md,standards_alignment/NIST_NICE_mapping.md,,implement_issue_completion.py,standards_alignment/NIST_NICE_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
16,P1: Map WAIKE to ABET outcomes,https://github.com/gunnchOS3k/waike-research-ops/issues/16,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/ABET_mapping.md,standards_alignment/ABET_mapping.md,,implement_issue_completion.py,standards_alignment/ABET_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
15,P1: Map WAIKE to CS2023,https://github.com/gunnchOS3k/waike-research-ops/issues/15,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/ACM_CS2023_mapping.md,standards_alignment/ACM_CS2023_mapping.md,,implement_issue_completion.py,standards_alignment/ACM_CS2023_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
14,P0: Define WAIKE-to-gunnchAI3k API contract,https://github.com/gunnchOS3k/waike-research-ops/issues/14,p0,ALREADY_DONE_ON_MAIN,docs/17_WAIKE_TO_GUNNCHAI3K_API_CONTRACT.md,docs/17_WAIKE_TO_GUNNCHAI3K_API_CONTRACT.md,,implement_issue_completion.py,docs/17_WAIKE_TO_GUNNCHAI3K_API_CONTRACT.md,make validate-issue-completion,close_now,True,False,
13,P0: Build gunnchAI3k tutor requirements,https://github.com/gunnchOS3k/waike-research-ops/issues/13,p0,DONE_ON_BRANCH_NEEDS_PR_MERGE,docs/08_GUNNCHAI3K_TUTOR_REQUIREMENTS.md,docs/08_GUNNCHAI3K_TUTOR_REQUIREMENTS.md; gunnchai/tutor_requirements.md,,implement_issue_completion.py,docs/08_GUNNCHAI3K_TUTOR_REQUIREMENTS.md; gunnchai/tutor_requirements.md,make validate-issue-completion,fixes_in_pr,False,True,
12,P0: Build Beyond the Founder Standard,https://github.com/gunnchOS3k/waike-research-ops/issues/12,p0,DONE_ON_BRANCH_NEEDS_PR_MERGE,docs/02_BEYOND_THE_FOUNDER_STANDARD.md,docs/02_BEYOND_THE_FOUNDER_STANDARD.md; philosophy/beyond_the_founder_standard.md,,implement_issue_completion.py,docs/02_BEYOND_THE_FOUNDER_STANDARD.md; philosophy/beyond_the_founder_standard.md,make validate-issue-completion,fixes_in_pr,False,True,
11,P0: Build WAIKE 0-to-7 levels,https://github.com/gunnchOS3k/waike-research-ops/issues/11,p0,ALREADY_DONE_ON_MAIN,docs/04_WAIKE_LEVELS_0_TO_7.md,docs/04_WAIKE_LEVELS_0_TO_7.md; curriculum/levels.yaml,,implement_issue_completion.py,docs/04_WAIKE_LEVELS_0_TO_7.md; curriculum/levels.yaml,make validate-issue-completion,close_now,True,False,
10,P0: Build founder education to curriculum map,https://github.com/gunnchOS3k/waike-research-ops/issues/10,p0,ALREADY_DONE_ON_MAIN,docs/01_FOUNDERS_EDUCATION_TO_CURRICULUM_MAP.md,docs/01_FOUNDERS_EDUCATION_TO_CURRICULUM_MAP.md,,implement_issue_completion.py,docs/01_FOUNDERS_EDUCATION_TO_CURRICULUM_MAP.md,make validate-issue-completion,close_now,True,False,
9,P0: Build WAIKE Knowledge OS,https://github.com/gunnchOS3k/waike-research-ops/issues/9,p0,ALREADY_DONE_ON_MAIN,docs/00_WAIKE_KNOWLEDGE_OS.md,docs/00_WAIKE_KNOWLEDGE_OS.md,,implement_issue_completion.py,docs/00_WAIKE_KNOWLEDGE_OS.md,make validate-issue-completion,close_now,True,False,
7,P2: Add project story card template for students,https://github.com/gunnchOS3k/waike-research-ops/issues/7,p2,DONE_ON_BRANCH_NEEDS_PR_MERGE,portfolio/templates/project_story_card.md,portfolio/templates/project_story_card.md,,implement_issue_completion.py,portfolio/templates/project_story_card.md,make validate-issue-completion,fixes_in_pr,False,True,
6,P1: Add global campus ops playbook,https://github.com/gunnchOS3k/waike-research-ops/issues/6,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,ops/global_campus_ops_playbook.md,ops/global_campus_ops_playbook.md,,implement_issue_completion.py,ops/global_campus_ops_playbook.md,make validate-issue-completion,fixes_in_pr,False,True,
5,P1: Add fair-chance/youth-safety policy draft,https://github.com/gunnchOS3k/waike-research-ops/issues/5,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,compliance/fair_chance_youth_safety_policy.md,compliance/fair_chance_youth_safety_policy.md,,implement_issue_completion.py,compliance/fair_chance_youth_safety_policy.md,make validate-issue-completion,fixes_in_pr,False,True,
4,P1: Add learning outcomes matrix,https://github.com/gunnchOS3k/waike-research-ops/issues/4,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,curriculum/learning_outcomes_matrix.md,curriculum/learning_outcomes_matrix.md; curriculum/program_outcomes.yaml,,implement_issue_completion.py,curriculum/learning_outcomes_matrix.md; curriculum/program_outcomes.yaml,make validate-issue-completion,fixes_in_pr,False,True,
3,P1: Add FOI rubric,https://github.com/gunnchOS3k/waike-research-ops/issues/3,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,rubrics/foi_rubric.yaml,rubrics/foi_rubric.yaml,,implement_issue_completion.py,rubrics/foi_rubric.yaml,make validate-issue-completion,fixes_in_pr,False,True,
2,P0: Define research apprenticeship tracks,https://github.com/gunnchOS3k/waike-research-ops/issues/2,p0,DONE_ON_BRANCH_NEEDS_PR_MERGE,apprenticeships/README.md,apprenticeships/README.md; results/apprenticeships/research_apprenticeship_index.md,,implement_issue_completion.py,apprenticeships/README.md; results/apprenticeships/research_apprenticeship_index.md,make validate-issue-completion,fixes_in_pr,False,True,
1,P0: Define WAIKE course release template,https://github.com/gunnchOS3k/waike-research-ops/issues/1,p0,DONE_ON_BRANCH_NEEDS_PR_MERGE,templates/course_release/README.md,templates/course_release/README.md; scripts/generate_course_release.py,,implement_issue_completion.py,templates/course_release/README.md; scripts/generate_course_release.py,make validate-issue-completion,fixes_in_pr,False,True,
